id,parent_id,order,unit_type,source_local_ids,source_path,line_start,line_end,source_sha256,translation_state,rights_component_ids
712ad509-94bf-5176-808c-99930068799b,697eee11-37f2-5f2e-8492-16a070ccd069,3,guided_exercise,"[""R011-B009"",""ch03-sec3.1-03""]",ch_probability/TeX/ch_probability.tex,192,214,231a0cec8e8d138504f81f68a84c4af1ff495342068894bd841177483933cc07,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
7178d9fa-ae2b-54d9-859b-d089f4eb1e31,7cb7707e-3d93-56dc-8117-c4d5dfbc9e3c,1,solution,"[""R011-B014""]",ch_distributions/TeX/ch_distributions.tex,547,553,6cc67b147ffa4bd3adfb3b92cda19961fdeaa2e95ab2cf43f58610e1a289b283,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""5013dc5b-3a29-5516-9948-98c064aa43e8""]"
72db07fc-c9f5-5dd6-8b42-53729c34751f,af685fb6-e44f-55f1-9419-ddd28f320c68,1,solution,"[""R011-B012""]",ch_probability/TeX/ch_probability.tex,2034,2036,264504aebaa8d2e7a4d5ab10dd0cc33fbf9c36ccb51f96f5d48c052503ff7a5b,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f"",""f5cfd01e-9712-58ec-ac48-481f923814c1""]"
73520ca6-33b3-53b3-9713-2ad77ac46942,b44842e4-51b4-52b7-8653-480ff0007c50,6,exercise,"[""college_sleeping"",""eoce_2_6"",""R011-B005""]",ch_summarizing_data/TeX/examining_numerical_data.tex,74,83,934f2a997afb3103fa6b56e2d634d30a92e286542b8fea621239016bc10035f1,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
73da116e-6d01-56d0-b143-2ec2806b49a2,b44842e4-51b4-52b7-8653-480ff0007c50,17,exercise,"[""income_coffee_shop"",""eoce_2_17"",""R011-B005""]",ch_summarizing_data/TeX/examining_numerical_data.tex,252,288,ee0f93d4a20ad063de2e81fb64c4381a913da06265e27575d83f1a86a25244f5,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
748801d5-dff8-5970-9094-9b6e46cc74b3,193a93a2-5f42-56b5-a579-7a4c8b028e6d,8,subsection,"[""R011-B010"",""bayesTheoremSubsection""]",ch_probability/TeX/ch_probability.tex,1402,1608,64adfbaa48ee0c7038e2aa3d78e78727c516c07030990c319935606e462520d8,language_reviewed,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
74df7b7d-b3b8-5719-9c25-bb11c33719ce,be68d249-d0b7-55f6-9d31-100dc668e656,1,companion_gap,"[""O001"",""eoce_2_4"",""R011-B005""]",,,,,queued,"[""032d41d3-7787-53af-b311-8f14e5631f44""]"
76494447-2b5b-55a0-acf9-028b903fa8cb,38d29400-2764-5109-a7fd-d245c7e52b17,19,exercise,"[""course_satisfaction_sections"",""eoce_1_19"",""R011-B003""]",ch_intro_to_data/TeX/sampling_principles_and_strategies.tex,118,131,342c9fbbb706ee7ad1c9d425616bb5ce797193008e8b5647ca849b8dd0cfa4e5,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
76ecd2e2-efd6-5cd9-b054-41be3101723f,4a0f5bef-95db-5c6c-ae94-097778cff15d,4,subsection,"[""mosaic_plots_subsection"",""sec2.2-subsection-4"",""R011-B006""]",ch_summarizing_data/TeX/ch_summarizing_data.tex,1872,1969,7cdfa079a1e0b32b5d1b586b6938af72ab595adb7d6b239857a59f4546b77d70,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
79b67f35-3460-585e-b91d-f1c7f8a7662f,4a0f5bef-95db-5c6c-ae94-097778cff15d,1,subsection,"[""sec2.2-subsection-1"",""R011-B006""]",ch_summarizing_data/TeX/ch_summarizing_data.tex,1344,1460,4766d658e8d9f2abe88159242b5dd48ec92c7f8febc7cd3aeb8353064597067e,source_frozen,"[""18223f28-a74d-5f9f-a586-6c3ab2bbef1f""]"
