page	text_sha256	characters	word_tokens	english_heuristic_tokens	indonesian_heuristic_tokens	forbidden_matches	heuristic_suspect	untranslated_instructional_or_exercise_prose
228	f0803df59055fa02c71b8eb7139b11d8088e66bde06d852733bec64cc181f824	5469	606	24	180	[]	False	False
229	5c0d05c8d2e471e40dcf3c9cb599d4451cb6834c275cae2e666699f1ec1ad448	4756	476	9	112	[]	False	False
230	c41f5466eba70dc8ad83fda0cfd67efb2b2a18a224d75d603f742fdf115c6718	5623	572	11	114	[]	False	False
231	35204d77de704f3342855d10770e1145936fe33873829ff336c2a93a13c935f0	3294	395	4	99	[]	False	False
232	ffdd1c3d1e9766d838e15a3910b565f2a87a3cba255c0e23cf110ed8f33dde79	4268	414	4	131	[]	False	False
233	d07e70d266678102500a34666ecc6162085e1e6f90357997d64a93099eb3cab0	3829	433	1	104	[]	False	False
234	636d8c4b3bfd503524d2751645e46fbe287458ab2f4fa92520c061a0ea509a55	2502	218	1	45	[]	False	False
235	9206f0fdc6f314dd845542a96311f03e605a110083129a05fc81e5cc1905d266	1091	52	0	9	[]	False	False
236	e15a274f7149dd07293622a0d9a7705793863ab233370e72b545191d705d391d	3205	368	2	95	[]	False	False
237	b1f90d3a67ef1e599583309242a218f459f88b8a5a15f4dcd4cdb9fe55f4136f	3161	342	1	76	[]	False	False
238	a2c31ed65cb091cbcb617c63f06f5b861b5d09c4a7489dbc8e81ba856126ced7	4554	467	4	84	[]	False	False
239	144beb988078cc6eb4e0d0dcdedaac217b7aa225e17fdb6c282c70d23caab9b9	2686	239	3	51	[]	False	False
240	947c5f6f289c381aaa6dfdcd3a6751c0694cc07e02b15cf2505078d5509b2182	3494	378	2	74	[]	False	False
241	2d9c32afe0e2b2f6b9b7cfc883ad994bebf9dc308b101453659c2e63ac6e031d	1731	171	7	36	[]	False	False
242	dbc3e5fdfb4263ea396e7b97bca162ce6e637024ef3e4d883787d29b557c26f2	4022	441	2	86	[]	False	False
243	e2488e02c73b9d3e351adc85b27ed4be3c37ac8692fe79e3267666216d3e7ac8	3097	319	0	62	[]	False	False
244	ac9b85bf859f7af3fc22d3768ed66d588fa4cce5f69b78b1a9fe2a1b2b836e19	3767	240	1	48	[]	False	False
245	dcb7fb109123df4822e38c36ba1b488a22157362980c0256bba743617c4df03f	2545	277	1	59	[]	False	False
246	9ea1dc8db11c9e45497ff99ba90917cf18dba96dc85e117b384bc570f5974944	5160	402	3	96	[]	False	False
247	746b187c1003ee13a7dc3ed950185f2e0ba2d35ce75fd286f0078465054d8f68	2465	221	6	49	[]	False	False
248	8d651a3c673b73ba5bdf8f82a1c8be6e8025454556cf5d81a7a18f7d5e57f133	4988	461	2	76	[]	False	False
249	d79b17dc1d8aae85ec72cb59b53a13022853e2936e05a3c11423861e9da1fd59	6879	697	0	141	[]	False	False
250	1b0b788adffdc8be54643bb91fef17b3b78a4ab7a81ea3d7fc17dcec1e6d6181	6521	648	3	149	[]	False	False
251	322421d69c29d1ed2bb8d1eb83dd5e808f45634fc69fda44339bc12df2a12276	5793	595	1	118	[]	False	False
252	e277b0943392ed5e0d4c1b3a674775f5ebfd2254c793256309f852cc6adfa5fc	7050	399	0	78	[]	False	False
253	e7ba58a25c80bf79599ec800aa6998d5ce4c6b0d79e25cee8ca0c8f8dde74a2a	7018	443	2	102	[]	False	False
254	61f781ceade0742f134e4a6c06d874a5f5ae3f61e5c0f987462b035952ba47a8	7858	623	10	187	[]	False	False
255	df555c049d7604e8d05a23004f5d25eaa8ce187762f48b1ee5eb91a39016b2e6	5385	488	13	146	[]	False	False
256	c7b13508726304ab6b369eb4e37bad276eb6cbd1a95dd3076ca35e9cd7b1acd1	547	47	0	4	[]	False	False
257	293bbbfe548ac65ef1aeed54733bde20ab4034b022336d477b1a82a352fcb238	6735	572	8	198	[]	False	False
258	3457caf85937aa8641b906998afc43bd730751b55b3a4fe1a494123d7cb38750	6777	583	6	150	[]	False	False
259	2f59c5913629d051a80f9cc761abcb15f41f64454cbb857e3dd4e103f2e2f53f	1989	127	1	23	[]	False	False
260	01aec9447e9817bb89da6ac9c75b80fc2ec7f8ebad69029bdf9d11acfc6e0937	1224	103	0	14	[]	False	False
